Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
65,0.001090830782496456,0.001090830782496456,0.0,0.02,0.02,9.78,17.0625,10.1875,-53.1875,1744474917.9823425
66,0.003272492347489368,-0.002181661564992912,-0.001090830782496456,0.01,0.02,9.81,17.0625,10.1875,-52.375,1744474918.002186
67,0.0,0.0,0.002181661564992912,0.02,0.0,9.82,17.0625,10.1875,-52.375,1744474918.0232377
68,0.001090830782496456,-0.003272492347489368,0.0,0.02,0.01,9.8,17.0625,10.1875,-51.1875,1744474918.0410335
69,0.0,0.0,0.001090830782496456,0.03,0.01,9.82,17.0625,10.1875,-51.1875,1744474918.0627036
70,-0.001090830782496456,-0.001090830782496456,0.0,0.02,0.03,9.78,17.0625,10.1875,-51.1875,1744474918.0833972
71,0.001090830782496456,0.002181661564992912,0.0,0.01,0.01,9.8,16.75,10.5625,-52.0,1744474918.102397
72,0.002181661564992912,-0.001090830782496456,0.001090830782496456,0.01,0.01,9.8,16.75,10.5625,-52.0,1744474918.122517
73,-0.001090830782496456,0.002181661564992912,0.002181661564992912,0.03,0.02,9.790000000000001,16.375,9.875,-53.5,1744474918.1442971
74,0.001090830782496456,0.0,0.0,0.0,0.02,9.790000000000001,16.375,9.875,-53.5,1744474918.162357
75,0.0,-0.001090830782496456,0.001090830782496456,0.0,0.03,9.8,16.375,9.875,-53.5,1744474918.1840072
76,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,0.03,0.02,9.81,17.5,11.25,-51.5625,1744474918.202416
77,0.001090830782496456,0.002181661564992912,0.0,0.0,0.0,9.790000000000001,17.5,11.25,-51.5625,1744474918.2226
78,0.002181661564992912,0.0,0.002181661564992912,0.0,0.02,9.790000000000001,17.5,10.875,-52.0,1744474918.2427564
79,-0.001090830782496456,0.0,0.002181661564992912,0.02,0.0,9.8,17.5,10.875,-52.0,1744474918.2651684
80,-0.001090830782496456,0.002181661564992912,0.0,0.01,0.01,9.81,17.5,10.875,-52.0,1744474918.2831395
81,0.002181661564992912,0.001090830782496456,0.001090830782496456,0.02,0.03,9.8,15.25,10.875,-51.1875,1744474918.3070242
82,0.0,-0.001090830782496456,0.001090830782496456,0.0,0.02,9.81,15.25,10.875,-51.1875,1744474918.3227026
83,-0.002181661564992912,-0.001090830782496456,0.001090830782496456,0.0,0.01,9.82,17.0625,9.875,-52.0,1744474918.3435516
84,0.0,0.001090830782496456,0.001090830782496456,0.02,0.01,9.77,17.0625,9.875,-52.0,1744474918.3659222
85,0.001090830782496456,0.001090830782496456,0.0,0.01,0.04,9.83,17.0625,9.875,-52.0,1744474918.3831673
86,-0.001090830782496456,-0.002181661564992912,0.0,0.02,0.03,9.82,17.5,11.25,-52.0,1744474918.4036763
87,-0.001090830782496456,0.002181661564992912,0.001090830782496456,0.01,0.01,9.81,17.5,11.25,-52.0,1744474918.4239979
88,0.0,0.001090830782496456,0.0,0.01,0.02,9.82,17.875,10.1875,-51.5625,1744474918.442924
89,-0.001090830782496456,-0.002181661564992912,-0.003272492347489368,0.03,0.03,9.77,17.875,10.1875,-51.5625,1744474918.4677773
90,-0.003272492347489368,0.0,0.001090830782496456,0.0,0.02,9.81,17.875,10.1875,-51.5625,1744474918.4868062
91,-0.002181661564992912,0.001090830782496456,-0.001090830782496456,0.02,0.05,9.81,16.375,10.1875,-52.6875,1744474918.508273
92,-0.003272492347489368,0.0,-0.002181661564992912,0.01,0.03,9.8,16.375,10.1875,-52.6875,1744474918.5299973
93,0.0,0.001090830782496456,-0.001090830782496456,0.02,0.01,9.8,16.375,11.25,-51.5625,1744474918.5507038
94,0.0,0.0,-0.001090830782496456,0.02,0.01,9.78,16.375,11.25,-51.5625,1744474918.5689454
95,0.0,0.0,-0.002181661564992912,0.02,0.01,9.790000000000001,16.375,11.25,-51.5625,1744474918.5873687
96,-0.003272492347489368,-0.001090830782496456,-0.001090830782496456,0.0,0.02,9.790000000000001,17.5,10.5625,-52.0,1744474918.6112952
97,-0.002181661564992912,0.0,0.0,0.03,0.04,9.78,17.5,10.5625,-52.0,1744474918.6298654
98,0.0,-0.001090830782496456,0.001090830782496456,0.01,0.02,9.82,16.0625,10.875,-52.0,1744474918.6509736
99,0.0,-0.002181661564992912,0.0,0.03,0.01,9.78,16.0625,10.875,-52.0,1744474918.6718626
100,-0.001090830782496456,-0.001090830782496456,-0.001090830782496456,0.02,0.01,9.81,16.0625,10.875,-52.0,1744474918.6885037
101,0.0,-0.002181661564992912,-0.002181661564992912,0.01,0.03,9.82,16.75,10.875,-52.6875,1744474918.710871
102,-0.001090830782496456,-0.001090830782496456,0.0,0.01,0.02,9.8,16.75,10.875,-52.6875,1744474918.7318687
103,-0.002181661564992912,-0.002181661564992912,-0.001090830782496456,0.04,0.01,9.82,16.375,10.5625,-52.0,1744474918.7509155
104,-0.003272492347489368,0.00545415391248228,-0.001090830782496456,0.02,0.02,9.81,16.375,10.5625,-52.0,1744474918.7714708
105,-0.00545415391248228,0.003272492347489368,-0.001090830782496456,0.01,0.02,9.83,16.75,10.875,-51.1875,1744474918.7916305
106,-0.002181661564992912,0.004363323129985824,0.0,0.0,0.01,9.81,16.75,10.875,-51.1875,1744474918.8109772
107,-0.004363323129985824,0.016362461737446838,-0.050178215994836975,-0.03,-0.03,9.78,16.75,10.875,-51.1875,1744474918.8317225
108,-0.003272492347489368,0.009817477042468103,-0.4036073895236887,-0.09,-0.02,9.82,16.75,11.25,-52.375,1744474918.8489358
109,0.001090830782496456,0.002181661564992912,-0.7014041931452212,-0.08,0.04,9.86,16.75,11.25,-52.375,1744474918.8719292
110,0.001090830782496456,-0.028361600344907856,-0.7134033317526822,0.14,0.0,9.76,16.75,11.25,-52.375,1744474918.889785
111,0.007635815477475192,-0.017453292519943295,-0.38942658935123475,0.14,0.12,9.77,16.375,10.5625,-52.0,1744474918.912053
112,-0.002181661564992912,0.008726646259971648,0.004363323129985824,0.03,0.02,9.81,16.375,10.5625,-52.0,1744474918.9319553
113,0.001090830782496456,-0.002181661564992912,0.004363323129985824,0.02,0.03,9.8,15.6875,11.25,-51.5625,1744474918.952681
114,0.004363323129985824,-0.00545415391248228,0.002181661564992912,0.01,0.02,9.790000000000001,15.6875,11.25,-51.5625,1744474918.9733045
115,0.003272492347489368,-0.008726646259971648,0.00545415391248228,0.01,0.04,9.8,16.0625,11.6875,-50.75,1744474918.9912965
116,0.0,-0.004363323129985824,0.003272492347489368,0.02,0.02,9.78,16.0625,11.6875,-50.75,1744474919.0127718
117,0.003272492347489368,0.002181661564992912,0.003272492347489368,-0.01,0.03,9.83,16.0625,11.6875,-50.75,1744474919.0327709
118,-0.002181661564992912,-0.00545415391248228,0.026179938779914945,-0.11,0.12,9.8,16.0625,11.6875,-51.1875,1744474919.0528913
119,-0.001090830782496456,-0.016362461737446838,0.18762289458939044,0.08,0.01,9.77,16.0625,11.6875,-51.1875,1744474919.0730689
120,0.002181661564992912,-0.004363323129985824,0.1439896632895322,0.04,0.04,9.83,16.0625,11.25,-53.1875,1744474919.0920868
121,0.002181661564992912,0.0,0.004363323129985824,0.01,0.02,9.81,16.0625,11.25,-53.1875,1744474919.113796
