Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
169,-57.3125,-60.9375,60.375,-1.17,1.7,8.75,0,0,0
170,-62.5,-67.3125,65.5625,-1.03,1.23,8.42,0,0,0
171,-51.1875,-66.8125,68.0625,-0.69,0.7,8.05,0,0,0
172,-30,-51.0625,67.1875,-0.21,0.74,8.38,0,0,0
173,-22.4375,-43.1875,67.9375,-0.14,0.76,8.7,0,0,0
174,-17.9375,-34.625,72.125,-0.27,0.69,9.57,0,0,0
175,-23.5,-36.4375,73.0625,-0.37,0.59,9.54,0,0,0
176,-40.625,-42.125,69.375,-0.15,0.16,9.45,0,0,0
177,-57.25,-40.375,59.6875,0.36,0.33,9.36,0,0,0
178,-62.25,-34.75,56.6875,0.42,0.71,9.48,0,0,0
179,-64,-35.1875,62.75,0.73,0.78,8.22,0,0,0
180,-32.4375,-40.0625,83.8125,1.22,-0.29,7.95,0,0,0
181,-10.125,-37.3125,94.5625,1.03,-0.46,8.11,0,0,0
182,14,-23.6875,101.625,0.36,-0.75,8.78,0,0,0
183,0.5,-14.5,87.5,0.11,-0.47,10,0,0,0
184,-17.5625,-13.5625,77.5,0.09,-0.21,10.18,0,0,0
185,-63.5,-22.0625,64.625,1.14,-0.51,9.29,0,0,0
186,-77.8125,-18.625,64.125,1.63,-1.71,7.61,0,0,0
187,-60.9375,-10.625,65.5,1.56,-2.34,6.59,0,0,0
188,-2.8125,5.0625,66.8125,1.32,-1.65,7.23,0,0,0
189,20.25,14.4375,69.8125,1.24,-1.04,7.9,0,0,0
190,11.3125,16.0625,71.8125,0.75,-0.53,8.82,0,0,0
191,-19.6875,24.375,73.625,1.09,-2.05,8.52,0,0,0
192,-27.25,35.1875,72.1875,0.76,-2.63,8.29,0,0,0
193,-14.625,47.6875,58.3125,-0.06,-3.13,7.84,0,0,0
194,20.1875,46,39.875,0.23,-2.43,8.26,0,0,0
195,33.6875,44.4375,34.3125,0.34,-1.92,8.73,0,0,0
196,29.75,41.4375,29.125,0.1,-0.45,9.51,0,0,0
197,15.1875,39.5625,28.0625,0.15,-0.27,9.58,0,0,0
198,-14.5625,42.25,36.3125,0.35,-1.23,9,0,0,0
199,-16.8125,48.1875,41.625,-0.11,-1.62,8.75,0,0,0
200,-0.1875,46.875,42.8125,-1.02,-1.96,8.99,0,0,0
201,13.5,34.125,35.5625,-1.07,-1.45,9.69,0,0,0
202,12.125,28.375,32,-1.08,-1.13,9.93,0,0,0
203,-7.5,18.75,28.5625,-0.32,-0.72,9.55,0,0,0
204,-15.0625,19.3125,30.6875,0.06,-1.06,9.4,0,0,0
205,-4.5625,31.0625,40.1875,-0.79,-2.48,8.61,0,0,0
206,28.6875,34.5625,38,-1.21,-2.72,8.71,0,0,0
207,40,32.375,30.625,-1.28,-2.35,10.06,0,0,0
208,36.125,28.375,12.5,-1.17,-1.78,10.87,0,0,0
209,21.6875,25.375,4.8125,-1.3,-1.47,11.07,0,0,0
210,-15,14,-5.9375,-1.25,-1.15,10.42,0,0,0
211,-37.25,3.375,-8.75,-0.89,-1.21,9.54,0,0,0
212,-38.75,1.625,-6.5625,-0.46,-1.63,8.92,0,0,0
213,-21.6875,9.8125,-0.1875,-0.47,-2.13,8.42,0,0,0
214,11.75,19.3125,2.375,-0.94,-2.08,9.19,0,0,0
215,24,18.3125,1.875,-0.95,-1.82,9.59,0,0,0
216,27.875,12,1.1875,-0.84,-1.27,10.31,0,0,0
217,8.875,4.25,1.1875,-0.81,-1.31,10.36,0,0,0
218,-3.0625,1.6875,-0.5,-0.87,-1.85,9.9,0,0,0
219,-18.3125,-0.0625,-9.5,-0.8,-2.05,9.52,0,0,0
220,-17.8125,1.5625,-15.75,-0.83,-2.12,9.4,0,0,0
221,-4.9375,3.9375,-25.3125,-0.87,-1.77,9.37,0,0,0
222,7.125,2.8125,-30.625,-0.87,-1.34,9.45,0,0,0
223,8.8125,0.8125,-31.3125,-0.69,-1.08,9.41,0,0,0
224,8.0625,2.625,-30.3125,-0.43,-0.78,9.42,0,0,0
225,6.375,5.4375,-28.3125,-0.57,-0.72,9.53,0,0,0
226,2.3125,8.3125,-25.8125,-0.87,-0.68,9.76,0,0,0
227,0.375,7.6875,-26.25,-0.9,-0.67,9.86,0,0,0
228,-1.625,2.5,-27.5,-0.86,-0.69,9.73,0,0,0
229,0.5,-2.1875,-29.3125,-0.67,-0.75,9.7,0,0,0
230,3.875,-2.625,-30,-0.56,-0.67,9.52,0,0,0
231,8.6875,-3,-29.9375,-0.44,-0.48,9.5,0,0,0
232,9.6875,-3.875,-28.5,-0.52,-0.42,9.49,0,0,0
233,11.1875,-3.875,-26.25,-0.67,-0.36,9.5,0,0,0
234,7.75,-3,-25.625,-0.65,-0.27,9.5,0,0,0
235,2.75,-3.25,-24.625,-0.61,-0.24,9.53,0,0,0
236,-5.8125,-2.375,-23.1875,-0.76,-0.5,9.32,0,0,0
237,-6.625,-1.0625,-22.875,-0.7,-0.56,9.22,0,0,0
238,0.875,1.5625,-20.75,-0.71,-0.63,9.08,0,0,0
239,7.0625,1.875,-19.375,-0.83,-0.63,9.37,0,0,0
240,11.9375,1.1875,-17.75,-1.08,-0.38,9.61,0,0,0
241,6.0625,-5.3125,-18.5,-1.02,-0.17,9.54,0,0,0
242,3.0625,-7.25,-17.9375,-0.98,-0.11,9.51,0,0,0
243,-0.9375,-6.4375,-14.625,-0.97,-0.02,9.44,0,0,0
244,-0.875,-4.6875,-12.5,-0.92,-0.1,9.17,0,0,0
245,3.5,0.6875,-7.25,-1.06,-0.16,9.24,0,0,0
246,5.6875,1.875,-5,-1.24,-0.25,9.32,0,0,0
247,9.75,3.6875,-2.125,-1.41,-0.09,9.54,0,0,0
248,3.9375,0.25,1,-1.47,0.07,9.81,0,0,0
249,-1.0625,-2.1875,3,-1.56,0,9.83,0,0,0
250,-9,-6.1875,6.6875,-1.61,-0.06,9.75,0,0,0
251,-10.6875,-7.9375,8.25,-1.73,-0.34,9.43,0,0,0
252,-9.5,-11.3125,11.25,-1.59,-0.66,9.13,0,0,0
253,-7.0625,-11.9375,13,-1.56,-0.75,9.1,0,0,0
254,-1.5,-10.375,15.5,-1.62,-0.79,9.32,0,0,0
255,-5.4375,-10.5,15.6875,-1.74,-0.73,9.53,0,0,0
256,-9.375,-11.3125,15.875,-1.68,-0.7,9.39,0,0,0
257,-14.5,-13.25,18.8125,-1.43,-0.96,9.02,0,0,0
258,-8.8125,-10,23.8125,-1.49,-1.14,8.69,0,0,0
259,-2.8125,-7.125,25.1875,-1.6,-1.15,8.87,0,0,0
260,3.75,-3.8125,26.375,-1.84,-0.84,9.31,0,0,0
261,-6.4375,-7.6875,26.8125,-1.77,-0.66,9.48,0,0,0
262,-14.75,-9.625,28.9375,-1.38,-0.9,9.37,0,0,0
263,-21,-7.375,33.5,-1.28,-1.72,8.68,0,0,0
264,-16.25,-4.5625,34.8125,-1.29,-1.83,8.61,0,0,0
265,0.9375,2.5,35.6875,-1.38,-1.9,8.76,0,0,0
266,16.125,6.4375,35.3125,-1.58,-1.56,9.54,0,0,0
267,17.125,4.8125,34.75,-1.69,-1.4,9.81,0,0,0
268,3.1875,-1.75,33.125,-1.44,-1.55,9.92,0,0,0
269,-5.1875,-3.625,32.75,-1.33,-1.74,9.81,0,0,0
270,-13.5625,-4,32.1875,-1.16,-2.17,9.23,0,0,0
271,-11.375,-4.1875,31.9375,-1.19,-2.16,9.17,0,0,0
272,-2.0625,-7.25,30.6875,-1.13,-2.16,9.15,0,0,0
273,2.6875,-13.125,27.8125,-0.81,-2.01,9.19,0,0,0
274,2.25,-14.375,26.6875,-0.72,-1.95,9.08,0,0,0
275,-1.125,-12.4375,24.375,-0.54,-2.06,8.79,0,0,0
276,-2.25,-8.1875,23,-0.43,-2,8.82,0,0,0
277,-4.625,2.75,19.875,-0.32,-2.01,9.08,0,0,0
278,-5.0625,11.4375,18,-0.42,-2.06,9.14,0,0,0
279,-3.9375,11.5625,17,-0.62,-2.4,9.08,0,0,0
280,3.4375,6.375,11.9375,-0.77,-2.41,9.13,0,0,0
281,8.8125,4.1875,8.375,-0.82,-2.22,9.33,0,0,0
282,10.875,0.5,2,-0.7,-1.58,9.54,0,0,0
283,1.125,-2.5,-1.5,-0.56,-1.28,9.57,0,0,0
284,-4.625,-3.375,-1.6875,-0.33,-1.37,9.09,0,0,0
285,-5.125,-3.1875,-0.5625,-0.28,-1.55,8.61,0,0,0
286,6.125,-1.75,0.125,-0.25,-1.57,8.54,0,0,0
287,11.125,1.3125,-0.0625,-0.24,-1.37,8.85,0,0,0
288,9.6875,8.5,-0.875,-0.22,-1.02,9.45,0,0,0
289,2.9375,10.75,-0.875,-0.2,-1.02,9.49,0,0,0
290,-11.125,12.5625,-0.625,-0.16,-1.49,9.26,0,0,0
291,-12.5,12,-1.625,-0.11,-1.81,9.18,0,0,0
292,-8.1875,11.625,-2.625,-0.21,-1.94,9.11,0,0,0
293,6.1875,12.3125,-8.375,-0.35,-1.98,9.27,0,0,0
294,13.125,13.25,-12.25,-0.39,-1.86,9.34,0,0,0
295,19.0625,15.75,-20.25,-0.42,-1.46,9.81,0,0,0
296,18.25,16.4375,-23.1875,-0.45,-1.24,9.99,0,0,0
297,7.3125,15.125,-27.4375,-0.47,-1.05,10.19,0,0,0
298,-5.625,8.8125,-28.0625,-0.34,-1.06,9.94,0,0,0
299,-8.5625,4.4375,-26.5,-0.26,-1.2,9.73,0,0,0
300,-2.125,-0.5,-23.25,-0.36,-1.51,9.28,0,0,0
301,3.6875,-1.4375,-22.75,-0.49,-1.55,9.28,0,0,0
302,12.0625,0.8125,-26.25,-0.66,-1.16,9.67,0,0,0
303,7.875,1.125,-31.125,-0.58,-1.08,9.74,0,0,0
304,3.625,0.6875,-32.625,-0.59,-0.87,9.59,0,0,0
305,-2.625,-0.25,-36.8125,-0.58,-0.75,9.38,0,0,0
306,-4,-0.125,-38.5,-0.5,-0.68,9.28,0,0,0
307,-0.125,4.0625,-38.25,-0.42,-0.68,9.11,0,0,0
308,9.3125,10.1875,-35.6875,-0.8,-0.69,9.36,0,0,0
309,13.5625,11.25,-35.4375,-0.92,-0.55,9.58,0,0,0
310,15.3125,8.75,-36.5,-1.04,-0.12,9.91,0,0,0
311,5.625,1.6875,-34,-0.9,0.22,9.96,0,0,0
312,0.1875,-1.6875,-30.4375,-0.78,0.11,9.62,0,0,0
313,-1.6875,-4.25,-22.875,-0.91,-0.3,9.19,0,0,0
314,0.875,-3.5625,-20.4375,-1.02,-0.36,9.21,0,0,0
315,5.125,-0.6875,-18.8125,-1.22,-0.35,9.45,0,0,0
316,4.5625,1.9375,-18.625,-1.2,-0.31,9.51,0,0,0
317,4,2.5625,-17.9375,-1.18,-0.33,9.45,0,0,0
318,5.4375,3,-15.25,-1.13,-0.44,9.37,0,0,0
319,7.4375,3.1875,-13.5625,-1.19,-0.57,9.28,0,0,0
320,12.375,2.75,-11.4375,-1.31,-0.7,9.22,0,0,0
321,14.5,1.5625,-11.25,-1.35,-0.75,9.27,0,0,0
322,17.5,3.4375,-12.5625,-1.53,-0.55,9.32,0,0,0
323,13.8125,6.5,-14.3125,-1.58,-0.41,9.42,0,0,0
324,10.125,7.6875,-14.8125,-1.41,-0.18,9.27,0,0,0
325,5.4375,10.5625,-12.875,-1.42,-0.18,9.24,0,0,0
326,5.25,11.0625,-11.0625,-1.41,-0.28,9.08,0,0,0
327,10.5625,12.375,-8.125,-1.54,-0.34,9.14,0,0,0
328,19.6875,7.0625,-5.3125,-1.45,-0.39,8.98,0,0,0
329,30.5625,5.1875,-2.75,-0.98,-0.88,8.27,0,0,0
330,67.9375,9.1875,3.375,-1.11,-0.93,8.23,0,0,0
331,86.5,15.1875,5.0625,-1.34,-0.33,9.27,0,0,0
332,92.625,23.3125,3.6875,-1.68,0.36,10.07,0,0,0
333,61,24,-1.875,-2.25,0.93,10.55,0,0,0
334,39.625,19.8125,-4.5625,-2.26,1.01,10.34,0,0,0
335,10.5,6.75,-6.5,-1.69,0.6,9.27,0,0,0
336,21.625,-7.1875,-0.0625,-1.52,0.09,8.78,0,0,0
337,40.3125,-10.0625,5.75,-1.53,0.22,9.02,0,0,0
