Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
180,-0.005454154,-0.003272492,-0.025089108,-0.25,-0.24,9.39,0,0,0
181,-0.005454154,0.003272492,0.004363323,-0.34,-0.36,9.4,0,0,0
182,-0.006544985,-0.002181662,-0.029452431,-0.32,-0.25,9.41,0,0,0
183,-0.009817477,0.001090831,-0.049087385,-0.25,-0.07,9.39,0,0,0
184,-0.004363323,0,0.017453293,-0.3,-0.11,9.4,0,0,0
185,-0.004363323,-0.004363323,0.034906585,-0.38,-0.33,9.43,0,0,0
186,-0.005454154,-0.006544985,-0.009817477,-0.33,-0.44,9.43,0,0,0
187,-0.005454154,-0.006544985,-0.053450708,-0.36,-0.47,9.37,0,0,0
188,-0.004363323,-0.007635815,-0.065449847,-0.38,-0.34,9.39,0,0,0
189,-0.007635815,-0.001090831,-0.05563237,-0.24,-0.31,9.41,0,0,0
190,-0.007635815,0.001090831,-0.006544985,-0.31,-0.13,9.39,0,0,0
191,-0.005454154,0.002181662,-0.010908308,-0.35,-0.17,9.44,0,0,0
192,-0.004363323,0.001090831,-0.02727077,-0.28,-0.24,9.42,0,0,0
193,-0.005454154,0.002181662,-0.008726646,-0.32,-0.32,9.4,0,0,0
194,-0.005454154,0.003272492,0.0283616,-0.35,-0.44,9.39,0,0,0
195,-0.008726646,0,0.011999139,-0.36,-0.45,9.41,0,0,0
196,-0.006544985,-0.003272492,-0.020725785,-0.36,-0.4,9.41,0,0,0
197,-0.006544985,-0.005454154,-0.05563237,-0.31,-0.35,9.39,0,0,0
198,-0.009817477,-0.006544985,-0.051269047,-0.28,-0.42,9.39,0,0,0
199,-0.009817477,0,-0.001090831,-0.3,-0.3,9.41,0,0,0
200,-0.009817477,-0.001090831,0.016362462,-0.32,-0.36,9.42,0,0,0
201,-0.008726646,0,0.02727077,-0.41,-0.3,9.39,0,0,0
202,-0.010908308,-0.004363323,-0.052359878,-0.38,-0.19,9.41,0,0,0
203,-0.008726646,-0.006544985,-0.049087385,-0.33,-0.27,9.42,0,0,0
204,-0.009817477,0,-0.044724062,-0.33,-0.38,9.43,0,0,0
205,-0.009817477,-0.001090831,-0.017453293,-0.19,-0.26,9.36,0,0,0
206,-0.0141808,0.006544985,-0.002181662,-0.22,-0.34,9.4,0,0,0
207,-0.0141808,0.002181662,-0.011999139,-0.35,-0.47,9.41,0,0,0
208,-0.007635815,0.002181662,-0.038179077,-0.4,-0.43,9.38,0,0,0
209,-0.006544985,0.004363323,-0.031634093,-0.41,-0.4,9.41,0,0,0
210,-0.009817477,0.002181662,-0.025089108,-0.33,-0.45,9.39,0,0,0
211,-0.011999139,0.005454154,-0.061086524,-0.31,-0.41,9.41,0,0,0
212,-0.008726646,-0.001090831,-0.061086524,-0.23,-0.38,9.38,0,0,0
213,-0.006544985,0.002181662,-0.050178216,-0.27,-0.32,9.37,0,0,0
214,-0.007635815,0.005454154,-0.0283616,-0.38,-0.47,9.39,0,0,0
215,-0.005454154,-0.003272492,-0.051269047,-0.49,-0.41,9.39,0,0,0
216,-0.001090831,-0.006544985,-0.079630647,-0.43,-0.28,9.4,0,0,0
217,0.003272492,-0.001090831,-0.104719755,-0.27,-0.35,9.41,0,0,0
218,0.001090831,0.002181662,-0.081812309,-0.19,-0.33,9.39,0,0,0
