Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),Timestamp
222,-0.079630647,0.046905724,0.043633231,-0.69,0.06,8.96,0,0,0,1743569201.768719
223,-0.026179939,0.159261294,0.006544985,-0.68,0.13,9.2,0,0,0,1743569201.7815387
224,0.020725785,0.224711141,-0.078539816,-0.61,0.16,9.73,0,0,0,1743569201.7949438
225,-0.001090831,0.230165295,-0.136353848,-0.66,-0.05,9.57,0,0,0,1743569201.8077617
226,-0.020725785,0.178896248,-0.150534648,-0.47,0,9.44,0,0,0,1743569201.8229547
227,0.061086524,0.199622033,-0.171260433,-0.41,0.13,9.76,0,0,0,1743569201.836002
228,0.169078771,0.128718032,-0.191986218,-0.44,0.13,9.53,0,0,0,1743569201.8488219
229,0.175623756,0.116718894,-0.215984495,-0.49,0,9.52,0,0,0,1743569201.8647223
230,0.103628924,0.143989663,-0.215984495,0,0.33,9.14,0,0,0,1743569201.8775465
231,0.063268185,0.179987079,-0.199622033,-0.03,0.32,9.41,0,0,0,1743569201.890372
232,0.130899694,0.163624617,-0.124354709,0.49,0.76,8.79,0,0,0,1743569201.9052942
233,0.283616003,0.054541539,0.077448986,0.5,0.41,8.68,0,0,0,1743569201.9181135
234,0.251981911,0.15380714,0.109083078,0.4,0.32,8.73,0,0,0,1743569201.9309337
235,0.25089108,0.232346957,0.079630647,0.67,0.42,8.86,0,0,0,1743569201.9437523
236,0.326158404,0.380699943,0.075267324,0.66,0.47,9.46,0,0,0,1743569201.956966
237,0.423242344,0.359974158,0.135263017,0.04,0.17,9.76,0,0,0,1743569201.9713674
238,0.294524311,0.261799388,0.016362462,0.23,0.19,9.5,0,0,0,1743569201.984421
239,0.119991386,0.13962634,-0.145080494,0.69,0.68,8.9,0,0,0,1743569201.9972396
240,0.188713725,0.086175632,-0.157079633,0.72,0.79,8.77,0,0,0,1743569202.0121672
241,0.237801111,0.105810586,-0.130899694,0.51,0.66,9.52,0,0,0,1743569202.0263715
242,0.160352125,0.162533787,-0.007635815,0.09,0.06,9.71,0,0,0,1743569202.0391908
243,0.02727077,0.122173048,0.001090831,0.05,0.3,9.73,0,0,0,1743569202.0547564
244,-0.093811447,0.145080494,-0.128718032,-0.21,0.12,10.01,0,0,0,1743569202.0675771
245,-0.182168741,0.035997416,-0.053450708,-0.02,-0.05,9.36,0,0,0,1743569202.0803955
246,-0.155988802,-0.010908308,-0.056723201,0.12,0.33,9.28,0,0,0,1743569202.093214
247,-0.244346095,0.182168741,-0.086175632,0.17,0.38,9.9,0,0,0,1743569202.106562
248,-0.198531202,0.170169602,-0.114537232,0.1,0.39,10.3,0,0,0,1743569202.1207595
249,-0.140717171,0.112355571,-0.115628063,0.01,0.37,10.54,0,0,0,1743569202.1335816
250,-0.082903139,-0.164715448,-0.089448124,-0.04,0.4,9.87,0,0,0,1743569202.1467016
251,-0.033815754,-0.296705973,-0.087266463,-0.06,0.34,9.34,0,0,0,1743569202.1611333
252,-0.043633231,-0.342520866,-0.101447263,-0.07,0.27,9.13,0,0,0,1743569202.175824
253,0.011999139,-0.169078771,-0.163624617,-0.12,0.52,9.67,0,0,0,1743569202.1887574
254,0.051269047,-0.150534648,-0.174532925,-0.16,0.82,9.53,0,0,0,1743569202.2044432
255,-0.178896248,-0.335975881,0.057814031,0.22,0.97,7.85,0,0,0,1743569202.2172656
256,-0.205076187,-0.318522588,0.151625479,-0.01,0.51,7.8,0,0,0,1743569202.2300875
257,-0.174532925,-0.165806279,0.184350402,-0.14,0.31,8.11,0,0,0,1743569202.2429059
258,-0.128718032,0.160352125,0.127627202,-0.47,0.22,8.62,0,0,0,1743569202.2563035
259,-0.182168741,0.186532064,0.086175632,-0.66,-0.03,8.83,0,0,0,1743569202.2701993
260,-0.235619449,0.256345234,0.062177355,-0.7,-0.06,9.03,0,0,0,1743569202.2830179
261,-0.09708394,0.237801111,-0.070904001,-0.86,0.02,10.67,0,0,0,1743569202.2964277
