Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
1836,0.028361600344907856,-0.06217735460229799,0.18762289458939044,-9.68,2.25,1.81,24.0,1.25,-38.5625,1746516943.975804
1837,0.022907446432425576,-0.1407171709420428,0.12326387842209953,-9.450000000000001,2.2800000000000002,1.86,24.0,1.25,-38.5625,1746516943.9989476
1838,0.02945243112740431,-0.1908953869368798,0.008726646259971648,-9.63,2.32,1.94,24.0,1.25,-38.5625,1746516944.0181088
1839,0.037088246604879506,-0.1407171709420428,0.004363323129985824,-9.81,2.32,1.8900000000000001,23.0,2.0625,-36.5625,1746516944.0382588
1840,0.044724062082354694,-0.05781403147231216,0.07090400086226964,-9.83,2.29,1.9100000000000001,23.0,2.0625,-36.5625,1746516944.0591235
1841,0.05781403147231216,-0.006544984694978736,0.14944381720201447,-9.84,2.27,1.94,23.6875,2.0625,-34.875,1746516944.0760982
1842,0.08944812416470939,0.014180800172453928,0.23234695667174513,-9.5,2.2,1.98,23.6875,2.0625,-34.875,1746516944.0990498
1843,0.11562806294462433,-0.05235987755982989,0.19198621771937624,-9.26,2.1,2.07,23.6875,2.0625,-34.875,1746516944.1164649
1844,0.1308996938995747,-0.10799224746714914,0.09926560120717749,-9.33,2.18,2.11,25.875,1.25,-36.0625,1746516944.1390383
1845,0.15817046346198613,-0.11017390903214205,0.07963064712224129,-9.52,2.37,2.24,25.875,1.25,-36.0625,1746516944.1593223
1846,0.27598018797160334,-0.03381575425739013,0.18871372537188688,-9.21,2.23,2.08,24.0,1.25,-37.0,1746516944.1764667
1847,0.3523383427463553,-0.014180800172453928,0.21489366415180183,-9.01,2.33,2.18,24.0,1.25,-37.0,1746516944.1990864
1848,0.41015237421866746,-0.032724923474893676,0.18980455615438332,-8.94,2.4,2.21,24.0,1.25,-37.0,1746516944.2170105
1849,0.4188790204786391,-0.05126904677733343,0.1189005552921137,-9.16,2.54,2.07,24.0,1.25,-37.875,1746516944.239172
1850,0.39269908169872414,-0.05781403147231216,0.05235987755982989,-9.69,2.72,1.93,24.0,1.25,-37.875,1746516944.259256
1851,0.39924406639370286,0.009817477042468103,0.16907877128695067,-9.78,2.73,1.84,23.25,-2.0,-37.375,1746516944.2770376
1852,0.44505895925855404,0.11235557059713497,0.4145156973486533,-9.22,2.58,1.52,23.25,-2.0,-37.375,1746516944.2989657
1853,0.4526947747360292,0.09599310885968812,0.4756022211684548,-8.94,2.63,1.6300000000000001,23.25,-2.0,-37.375,1746516944.3173325
1854,0.4232423436086249,-0.026179938779914945,0.38288160465625604,-8.59,2.79,1.62,23.25,-2.0,-35.75,1746516944.3392355
1855,0.36979163526629855,-0.17016960206944712,0.21271200258680892,-8.89,2.86,1.54,23.25,-2.0,-35.75,1746516944.3593028
1856,0.29343348049154666,-0.19853120241435498,0.1559888018969932,-9.03,2.94,1.55,24.0,-2.0,-37.0,1746516944.3773708
1857,0.2279836335417593,-0.0719948316447661,0.2552544031041707,-8.6,3.06,1.8800000000000001,24.0,-2.0,-37.0,1746516944.3990996
1858,0.2083486794568231,0.009817477042468103,0.1908953869368798,-8.540000000000001,3.0300000000000002,1.96,25.1875,-4.5,-37.875,1746516944.417732
1859,0.19962203319685143,0.03599741582238305,-0.014180800172453928,-8.84,3.0100000000000002,1.85,25.1875,-4.5,-37.875,1746516944.4392502
1860,0.17889624832941878,0.04145156973486533,-0.2083486794568231,-9.59,3.02,1.71,25.1875,-4.5,-37.875,1746516944.459332
1861,0.18653206380689397,0.10471975511965978,-0.27598018797160334,-9.86,3.0500000000000003,1.71,24.75,-3.0625,-38.6875,1746516944.4777973
1862,0.24980024919168842,0.25416357232167425,-0.08944812416470939,-9.78,3.0300000000000002,1.56,24.75,-3.0625,-38.6875,1746516944.4991846
1863,0.35452000431134817,0.32179508083645453,0.10035643198967395,-9.65,2.98,1.5,23.0,-3.0625,-37.5,1746516944.5180929
1864,0.4363323129985824,0.2519819107566813,0.136353847812057,-9.5,2.96,1.26,23.0,-3.0625,-37.5,1746516944.5393865
1865,0.47451139038595835,0.10471975511965978,0.18216874067690814,-9.5,2.99,1.34,23.0,-3.0625,-37.5,1746516944.55935
1866,0.4919646829059016,-0.037088246604879506,0.25416357232167425,-9.48,2.98,1.27,24.375,-6.0,-37.375,1746516944.5781283
1867,0.5181446216858165,-0.11235557059713497,0.3785182815262702,-9.28,3.16,1.18,24.375,-6.0,-37.375,1746516944.599186
1868,0.5148721293383273,-0.13308135546456762,0.5214171140333059,-9.03,3.21,1.18,23.0,-6.75,-35.375,1746516944.6184046
1869,0.44505895925855404,-0.13853550937704992,0.5115996369908379,-8.78,3.24,1.3,23.0,-6.75,-35.375,1746516944.6393383
1870,0.32834006553143325,-0.11562806294462433,0.39924406639370286,-8.73,3.2800000000000002,1.36,23.0,-6.75,-35.375,1746516944.6595557
1871,0.21925698728178766,-0.04799655442984406,0.25634523388666713,-8.88,3.35,1.28,24.0,-6.75,-35.375,1746516944.6784186
1872,0.14944381720201447,0.008726646259971648,0.15162547876700738,-9.25,3.49,1.29,24.0,-6.75,-35.375,1746516944.699145
1873,0.11562806294462433,0.0818123086872342,0.19634954084936207,-9.1,3.48,1.37,24.75,-9.5625,-37.0,1746516944.718748
1874,0.08944812416470939,0.044724062082354694,0.18216874067690814,-9.16,3.41,1.4000000000000001,24.75,-9.5625,-37.0,1746516944.7392697
1875,0.09053895494720585,-0.017453292519943295,0.12980886311707826,-9.21,3.38,1.47,24.75,-9.5625,-37.0,1746516944.7593813
1876,0.11453723216212788,-0.031634092692397225,0.1189005552921137,-9.290000000000001,3.5,1.55,23.6875,-8.5625,-36.6875,1746516944.7788675
1877,0.2585268954516601,-0.00545415391248228,0.2203478180642841,-9.17,3.62,1.57,23.6875,-8.5625,-36.6875,1746516944.7991967
1878,0.30543261909900765,-0.001090830782496456,0.25416357232167425,-9.1,3.7600000000000002,1.47,22.5625,-9.25,-35.75,1746516944.8191118
1879,0.38069994309126315,-0.01090830782496456,0.30652344988150415,-8.77,3.87,1.46,22.5625,-9.25,-35.75,1746516944.8393948
1880,0.36979163526629855,-0.06654067773228381,0.22907446432425577,-8.81,3.94,1.45,22.5625,-9.25,-35.75,1746516944.8594732
1881,0.33488505022641196,-0.0818123086872342,0.20289452554434081,-9.11,3.99,1.21,21.75,-11.0625,-37.0,1746516944.879188
1882,0.28579766501407144,-0.017453292519943295,0.2977968036215325,-8.9,3.93,0.98,21.75,-11.0625,-37.0,1746516944.8992507
1883,0.21925698728178766,0.011999138607461015,0.30652344988150415,-8.51,3.93,0.91,23.375,-10.75,-35.375,1746516944.9192758
1884,0.1461713248545251,-0.016362461737446838,0.210530341021816,-8.27,3.93,0.9400000000000001,23.375,-10.75,-35.375,1746516944.939342
1885,0.07853981633974483,-0.07963064712224129,0.07963064712224129,-8.17,4.04,1.09,23.375,-10.75,-35.375,1746516944.9593997
1886,0.05890486225480862,-0.11017390903214205,-0.0272707695624114,-8.5,4.19,1.07,23.75,-12.1875,-35.0,1746516944.9793158
1887,0.06763150851478027,-0.013089969389957472,0.05126904677733343,-8.86,4.3100000000000005,1.04,23.75,-12.1875,-35.0,1746516944.999361
1888,0.0818123086872342,0.10690141668465268,0.13526301702956053,-8.64,4.33,1.2,22.6875,-12.5625,-36.6875,1746516945.0198405
1889,0.08072147790473774,0.14180800172453928,0.0818123086872342,-8.6,4.26,1.25,22.6875,-12.5625,-36.6875,1746516945.039634
1890,0.09053895494720585,0.09381144729469522,0.00545415391248228,-8.61,4.09,1.1,22.6875,-12.5625,-36.6875,1746516945.0596602
1891,0.11562806294462433,0.0272707695624114,-0.05999569303730508,-8.9,4.16,1.06,22.25,-12.1875,-35.375,1746516945.0796747
